id,ime,maticna_stevilka,obcina,zaposleni,dobicek
1519140000,ADECCO H.R. d.o.o.,1519140000,Ljubljana,Nad 1000 zaposlenih,604403
5479541000,"ADRIA MOBIL, d.o.o. Novo mesto",5479541000,Novo mesto,Nad 1000 zaposlenih,35762836
1387570000,Akrapovič d.d.,1387570000,Ivančna Gorica,Nad 1000 zaposlenih,16674429
5518121000,BOXMARK LEATHER d.o.o.,5518121000,Kidričevo,Nad 1000 zaposlenih,-4750308
5684943000,BSH HIŠNI APARATI d.o.o. Nazarje,5684943000,Nazarje,Nad 1000 zaposlenih,13133119
5814251000,DARS d.d.,5814251000,Celje,Nad 1000 zaposlenih,139611455
5045401000,"DOMEL, d.o.o.Oglas",5045401000,Železniki,Nad 1000 zaposlenih,8157478
5494516000,ENGROTUŠ d.o.o.,5494516000,Celje,Nad 1000 zaposlenih,
2482711000,FURS,2482711000,Ljubljana,Nad 1000 zaposlenih,
2399199000,GENERALŠTAB SLOVENSKE VOJSKE,2399199000,Ljubljana,Nad 1000 zaposlenih,
1196367000,GOODYEAR DUNLOP SAVA TIRES d.o.o.,1196367000,Kranj,Nad 1000 zaposlenih,8024290
5163676000,"Gorenje, d.o.o.",5163676000,Velenje,Nad 1000 zaposlenih,-59519000
5035945000,HELLA SATURNUS SLOVENIJA d.o.o.,5035945000,Ljubljana,Nad 1000 zaposlenih,29428000
5045398000,HIDRIA d.o.o.,5045398000,Ljubljana,Nad 1000 zaposlenih,9344533
5232058000,HIT d.d. Nova GoricaOglas,5232058000,Nova Gorica,Nad 1000 zaposlenih,7137000
1992414000,HOFER trgovina d.o.o.,1992414000,Lukovica,Nad 1000 zaposlenih,6793123
2111357000,KARIERA d.o.o.,2111357000,Ljubljana,Nad 1000 zaposlenih,1217515
5043611000,"KRKA, d.d., Novo mesto",5043611000,Novo mesto,Nad 1000 zaposlenih,249411000
1719947000,LIDL Slovenija d.o.o. k.d.,1719947000,Komenda,Nad 1000 zaposlenih,10668946
5287073000,LTH Castings d.o.o.,5287073000,Škofja Loka,Nad 1000 zaposlenih,34006221
5144353000,"LUKA KOPER, d.d.",5144353000,Koper,Nad 1000 zaposlenih,38818611
1732811000,Lek d.d.Oglas,1732811000,Ljubljana,Nad 1000 zaposlenih,115812000
5045410000,MAHLE Electric Drives Slovenija d.o.o.Oglas,5045410000,Šempeter  -Vrtojba,Nad 1000 zaposlenih,-23429900
5300231000,"MERCATOR, d.d.Oglas",5300231000,Ljubljana,Nad 1000 zaposlenih,-13807000
6723128000,"MERKUR trgovina, d.o.o.",6723128000,Naklo,Nad 1000 zaposlenih,4776000
5055733000,OI LJUBLJANA,5055733000,Ljubljana,Nad 1000 zaposlenih,
5141966000,PERUTNINA PTUJ d.o.o.,5141966000,Ptuj,Nad 1000 zaposlenih,13670000
5025796000,"PETROL d.d., LjubljanaOglas",5025796000,Ljubljana,Nad 1000 zaposlenih,60249229
1332813000,POLICIJA,1332813000,Ljubljana,Nad 1000 zaposlenih,
5881447000,POŠTA SLOVENIJE d.o.o.,5881447000,Maribor,Nad 1000 zaposlenih,4157023
5040361000,"PREMOGOVNIK VELENJE, d.o.o.",5040361000,Velenje,Nad 1000 zaposlenih,-6584420
5405084000,REVOZ d.d.,5405084000,Novo mesto,Nad 1000 zaposlenih,24169000
5056497000,RTV SLOVENIJA,5056497000,Ljubljana,Nad 1000 zaposlenih,
1122517000,SB M. SOBOTA,1122517000,Murska Sobota,Nad 1000 zaposlenih,
5054621000,SB Novo mesto,5054621000,Novo mesto,Nad 1000 zaposlenih,
5688418000,SIJ ACRONI d.o.o.,5688418000,Jesenice,Nad 1000 zaposlenih,-4364331
5686482000,SIJ METAL RAVNE d.o.o.Oglas,5686482000,Ravne na Koroškem,Nad 1000 zaposlenih,-10695000
5571693000,SPAR SLOVENIJA d.o.o.,5571693000,Ljubljana,Nad 1000 zaposlenih,9600105
5064716000,SPLOŠNA BOLNIŠNICA CELJEOglas,5064716000,Celje,Nad 1000 zaposlenih,
5301971000,Sava Turizem d.d.,5301971000,Ljubljana,Nad 1000 zaposlenih,12264000
6017177000,"SŽ - Infrastruktura, d.o.o.",6017177000,Ljubljana,Nad 1000 zaposlenih,2685811
6017231000,"SŽ - Tovorni promet, d.o.o.",6017231000,Ljubljana,Nad 1000 zaposlenih,4801645
5865824000,"SŽ - VIT, d.o.o.",5865824000,Ljubljana,Nad 1000 zaposlenih,0
5040868000,TALUM d.d. KidričevoOglas,5040868000,Kidričevo,Nad 1000 zaposlenih,553722
5014018000,"TELEKOM SLOVENIJE, d.d.Oglas",5014018000,Ljubljana,Nad 1000 zaposlenih,585000
1622226000,"TRENKWALDER, d.o.o.",1622226000,Ljubljana,Nad 1000 zaposlenih,299173
5057272000,UKC Ljubljana,5057272000,Ljubljana,Nad 1000 zaposlenih,
5054150000,UKC MARIBOROglas,5054150000,Maribor,Nad 1000 zaposlenih,
5089638000,UMOglas,5089638000,Maribor,Nad 1000 zaposlenih,
5042437000,UNIOR d.d.,5042437000,Zreče,Nad 1000 zaposlenih,6123725
5874939000,UPRAVNA ENOTA LJUBLJANA,5874939000,Ljubljana,Nad 1000 zaposlenih,
5056063000,ZDRAVSTVENI DOM LJUBLJANAOglas,5056063000,Ljubljana,Nad 1000 zaposlenih,
2010810000,odelo Slovenija d.o.o.,2010810000,Prebold,Nad 1000 zaposlenih,7796410
1196332000,"A1 Slovenija, d. d.Oglas",1196332000,Ljubljana,500 do 999 zaposlenih,12133413
5347254000,ADK d.o.o.Oglas,5347254000,Hoče -S livnica,500 do 999 zaposlenih,8617575
5263565000,AKTIVA VAROVANJE d.d.,5263565000,Maribor,500 do 999 zaposlenih,55826
5496039000,AKTIVA ČIŠČENJE d.o.o.,5496039000,Trzin,500 do 999 zaposlenih,72961
5775256000,ALPE-PANON d.o.o.,5775256000,Ljubljana,500 do 999 zaposlenih,3353135
5441161000,ARCONT d.d.,5441161000,Gornja Radgona,500 do 999 zaposlenih,2320722
5415918000,Adient Slovenj Gradec d.o.o.,5415918000,Slovenj Gradec,500 do 999 zaposlenih,3430104
5005485000,AquafilSLO d.o.o.,5005485000,Ljubljana,500 do 999 zaposlenih,2907000
5054796000,BOLNIŠNICA PTUJ,5054796000,Ptuj,500 do 999 zaposlenih,
2211238000,CARTHAGO d.o.o.,2211238000,Odranci,500 do 999 zaposlenih,5199959
5069149000,"CGP, d.d.",5069149000,Novo mesto,500 do 999 zaposlenih,9851988
5040302000,CIMOS d.d.,5040302000,Koper,500 do 999 zaposlenih,-1020975
5042801000,"CINKARNA Celje, d.d.",5042801000,Celje,500 do 999 zaposlenih,21436385
5895448000,"DEOS, d.o.o.",5895448000,Brezovica,500 do 999 zaposlenih,1483941
1304836000,"ELAN, d.o.o.Oglas",1304836000,Radovljica,500 do 999 zaposlenih,1002000
5223067000,"ELEKTRO CELJE, d.d.Oglas",5223067000,Celje,500 do 999 zaposlenih,9252820
5227992000,ELEKTRO LJUBLJANA d.d.Oglas,5227992000,Ljubljana,500 do 999 zaposlenih,13912351
5231698000,ELEKTRO MARIBOR d.d.,5231698000,Maribor,500 do 999 zaposlenih,14274681
5427223000,"ELES, d.o.o.Oglas",5427223000,Ljubljana,500 do 999 zaposlenih,17335995
5926475000,ELRAD INTERNATIONAL d.o.o.,5926475000,Gornja Radgona,500 do 999 zaposlenih,8572857
5226406000,"ENERGETIKA LJUBLJANA, d.o.o.",5226406000,Ljubljana,500 do 999 zaposlenih,216585
5677475000,ETA d.o.o. Cerkno,5677475000,Cerkno,500 do 999 zaposlenih,2130360
5042178000,"ETI, d.o.o.",5042178000,Zagorje ob Savi,500 do 999 zaposlenih,6127768
1983725000,"EUROSPIN EKO, d.o.o.",1983725000,Renče - Vogrsko,500 do 999 zaposlenih,4228688
5498449000,"GORENJE I.P.C., d.o.o.",5498449000,Velenje,500 do 999 zaposlenih,2000
6261752000,HENKEL MARIBOR d.o.o.,6261752000,Maribor,500 do 999 zaposlenih,2099939
1470647000,"HTZ Velenje, I.P., d.o.o.",1470647000,Velenje,500 do 999 zaposlenih,-1542243
5043212000,Helios TBLUS d.o.o.,5043212000,Domžale,500 do 999 zaposlenih,14490000
5051606000,IJS V angl.jeziku: JSI,5051606000,Ljubljana,500 do 999 zaposlenih,
5001684000,INTEREUROPA d.d.,5001684000,Koper,500 do 999 zaposlenih,3388000
6025498000,"ISKRA MEHANIZMI, d.o.o.",6025498000,Radovljica,500 do 999 zaposlenih,2666514
5185726000,"ISKRA, d.o.o.",5185726000,Ljubljana,500 do 999 zaposlenih,8812986
5045193000,"ISKRAEMECO, d.d.",5045193000,Kranj,500 do 999 zaposlenih,6070586
5293162000,"ISKRATEL, d.o.o., Kranj",5293162000,Kranj,500 do 999 zaposlenih,822000
5472784000,ISS FACILITY SERVICES d.o.o.,5472784000,Maribor,500 do 999 zaposlenih,548842
5701414000,"JAGROS, d.o.o.",5701414000,Rogaška Slatina,500 do 999 zaposlenih,8280653
5046688000,JP VOKA SNAGA d.o.o.Oglas,5046688000,Ljubljana,500 do 999 zaposlenih,1062049
1872303000,KOLEKTOR SIKOM d.o.o.,1872303000,Idrija,500 do 999 zaposlenih,1059825
7124953000,KOVINOPLASTIKA LOŽ d.o.o.,7124953000,Loška dolina,500 do 999 zaposlenih,2026242
5025648000,LES-MMS d.o.o.,5025648000,Ljubljana,500 do 999 zaposlenih,7398960
5504813000,"LIVAR, d.d.",5504813000,Ivančna Gorica,500 do 999 zaposlenih,-2795013
5048257000,LJUBLJANSKE MLEKARNE d.o.o.,5048257000,Ljubljana,500 do 999 zaposlenih,8132647
5222966000,LPP d.o.o.Oglas,5222966000,Ljubljana,500 do 999 zaposlenih,265787
5874025000,MESTNA OBČINA LJUBLJANA,5874025000,Ljubljana,500 do 999 zaposlenih,
5030200000,MINISTRSTVO ZA NOTRANJE ZADEVE,5030200000,Ljubljana,500 do 999 zaposlenih,
5268923000,MINISTRSTVO ZA OBRAMBO,5268923000,Ljubljana,500 do 999 zaposlenih,
5186722000,MINISTRSTVO ZA ZUNANJE ZADEVE,5186722000,Ljubljana,500 do 999 zaposlenih,
2482762000,MJU,2482762000,Ljubljana,500 do 999 zaposlenih,
5132061000,MLINOTEST d.d.,5132061000,Ajdovščina,500 do 999 zaposlenih,1930374
1889664000,NATON d.o.o.,1889664000,Ljubljana,500 do 999 zaposlenih,23742
5034345000,NEK d.o.o.Oglas,5034345000,Krško,500 do 999 zaposlenih,0
6489087000,NLZOHOglas,6489087000,Maribor,500 do 999 zaposlenih,
5143373000,NOMAGO d.o.o.Oglas,5143373000,Ljubljana,500 do 999 zaposlenih,4351970
5432316000,NOVEM CAR INTERIOR DESIGN d.o.o.,5432316000,Žalec,500 do 999 zaposlenih,189684
5022762000,OKROŽNO SODIŠČE V LJUBLJANI,5022762000,Ljubljana,500 do 999 zaposlenih,
5165792000,OZG,5165792000,Kranj,500 do 999 zaposlenih,
5785596000,PALFINGER d.o.o.,5785596000,Maribor,500 do 999 zaposlenih,3592638
5034639000,Paloma d.d.,5034639000,Šentilj,500 do 999 zaposlenih,1573154
5049318000,Pivovarna Laško Union d.o.o.Oglas,5049318000,Ljubljana,500 do 999 zaposlenih,24388622
5616514000,SAFILO d.o.o. Ormož,5616514000,Ormož,500 do 999 zaposlenih,801611
5542421000,SALOMON d.o.o. Ljubljana,5542421000,Ljubljana,500 do 999 zaposlenih,-1179584
5053692000,SB JESENICE,5053692000,Jesenice,500 do 999 zaposlenih,
5055695000,SB Nova Gorica,5055695000,Šempeter  -Vrtojba,500 do 999 zaposlenih,
5054958000,SB Slovenj Gradec,5054958000,Slovenj Gradec,500 do 999 zaposlenih,
1367439000,SIJ RAVNE SYSTEMS d.o.o.,1367439000,Ravne na Koroškem,500 do 999 zaposlenih,-869744
5446252000,SINTAL d.o.o.Oglas,5446252000,Ljubljana,500 do 999 zaposlenih,1707955
