id,naslov,posredovanje,vrsta,obcina,velikost,cena,leto,sobe
o6358608,BTC,oddaja,Poslovni prostor,Ljubljana,220.8,12.0,1980.0,
o6358609,BTC,oddaja,Poslovni prostor,Ljubljana,537.0,12.0,1980.0,
o6370675,"GMAJNICA, KOMENDA - SONČNA ALEJA",oddaja,Hiša,Komenda,160.0,1500.0,2020.0,
o6143752,"KOMENDA, POSLOVNA CONA ŽEJE PRI KOMENDI",oddaja,Poslovni prostor,Komenda,250.0,6.9,2017.0,
o6348188,LJ. BEŽIGRAD,oddaja,Poslovni prostor,Ljubljana,195.96,2000.0,2010.0,
o6367167,"LJ. BEŽIGRAD, KADILNIKOVA",oddaja,Stanovanje,Ljubljana,90.7,1050.0,2006.0,3.5
o6373322,LJ. CENTER,oddaja,Poslovni prostor,Ljubljana,184.5,1900.0,2002.0,
o6332866,LJ. CENTER,oddaja,Poslovni prostor,Ljubljana,349.8,15.0,2008.0,
o6350389,"LJ. CENTER, MIKLOŠIČEVA CESTA",oddaja,Poslovni prostor,Ljubljana,52.35,14.0,1949.0,
o6350399,"LJ. CENTER, MIKLOŠIČEVA CESTA",oddaja,Poslovni prostor,Ljubljana,178.2,14.0,1949.0,
o6350402,"LJ. CENTER, MIKLOŠIČEVA CESTA",oddaja,Poslovni prostor,Ljubljana,180.9,14.0,1949.0,
o6350408,"LJ. CENTER, MIKLOŠIČEVA CESTA",oddaja,Poslovni prostor,Ljubljana,448.7,14.0,1949.0,
o6328811,"LJ. CENTER, MIKLOŠIČEVA CESTA",oddaja,Poslovni prostor,Ljubljana,992.45,14.0,1949.0,
o6349365,LJ. MOSTE,oddaja,Poslovni prostor,Ljubljana,136.0,1500.0,2003.0,
o6348180,LJ. MOSTE,oddaja,Poslovni prostor,Ljubljana,161.0,2000.0,2021.0,
o6353699,LJ. ŠIŠKA,oddaja,Stanovanje,Ljubljana,56.0,550.0,2019.0,1.0
o6356471,LJ. ŠIŠKA,oddaja,Poslovni prostor,Ljubljana,275.7,10.0,1980.0,
o6373115,"LJ. ŠIŠKA, MOSTEC - ČERNIGOJEVA ULICA",oddaja,Stanovanje,Ljubljana,42.71,620.0,2001.0,1.0
o6372461,"LJ. ŠIŠKA, OB CELOVŠKI CESTI ZA MCDONALDSOM",oddaja,Poslovni prostor,Ljubljana,70.0,5.0,1972.0,
o6358614,POBREŽJE,oddaja,Poslovni prostor,Maribor,300.0,10.0,2020.0,
o6361096,"SAVSKO NASELJE, BEŽIGRAD",oddaja,Stanovanje,Ljubljana,77.0,750.0,1969.0,3.0
o6225422,"SP. ŠIŠKA, MAZIJEVA ULICA",oddaja,Stanovanje,Ljubljana,60.0,850.0,1935.0,2.0
