ime,st_prebivalcev,st_migrantov_v_obcino,st_migrantov_iz_obcine,placa_bruto,placa_neto
Ajdovščina,19364,2167.5473,3783.5472999999997,1601.13,1055.98
Ankaran/Ancarano,3215,767.0414000000001,1118.5997999999997,1722.55,1113.57
Apače,3532,222.86307692307696,789.8630769230771,1463.82,978.9
Beltinci,8098,565.2112,2397.2112,1420.35,953.26
Benedikt,2584,274.04004999999995,889.0400500000001,1446.04,966.69
Bistrica ob Sotli,1333,147.98724999999996,374.98725,1585.62,1042.67
Bled,7846,1693.8640000000003,2047.8640000000003,1668.38,1083.43
Bloke,1567,37.804,522.804,1502.13,997.5
Bohinj,5118,402.14665000000014,1091.14665,1406.27,942.68
Borovnica,4547,470.3284,1639.3284,1554.71,1004.54
Bovec,3074,383.6947500000001,442.69475000000006,1527.47,1013.69
Braslovče,5584,545.8296,1978.8296000000005,1588.18,1046.48
Brda,5632,522.53985,1670.5398500000001,1595.5,1053.76
Brezovica,12527,2167.3795,4428.3795,1560.27,1025.21
Brežice,24157,1381.494999999999,4172.494999999999,1565.32,1029.86
Cankova,1724,174.49855,432.49854999999997,1437.04,965.71
Celje,49602,15961.545900000001,7402.545899999998,1680.24,1093.56
Cerklje na Gorenjskem,7712,2964.149,2550.1490000000003,2329.59,1433.9
Cerknica,11625,1214.7327999999998,2727.7327999999998,1448.53,959.86
Cerkno,4577,395.3775499999999,895.37755,1408.25,949.08
Cerkvenjak,2080,322.41420000000005,761.4142,1407.6,939.26
Cirkulane,2362,166.92307692307693,846.9230769230769,1458.62,970.61
Destrnik,2617,264.09664999999995,1012.0966500000002,1463.85,974.38
Divača,4195,539.5475999999999,1356.5475999999999,1548.82,1022.72
Dobje,965,125.74800000000003,383.7479999999999,1787.15,1156.58
Dobrepolje,3838,445.97835,1160.97835,1422.27,954.19
Dobrna,2240,408.33535,728.3353500000002,1469.12,975.49
Dobrova - Polhov Gradec,7752,822.9626,2689.9626,1458.86,974.23
Dobrovnik/Dobronak,1287,125.6096,355.6096,1553.96,1023.1
Dol pri Ljubljani,6295,1135.8416,2318.8416,1820.76,1182.76
Dolenjske Toplice,3525,308.9487500000001,1245.9487499999996,1567.67,1043.58
Domžale,36429,6040.223199999998,10644.2232,1590.03,1044.06
Dornava,2894,494.07900000000006,868.0790000000002,1606.51,1062.44
Dravograd,8849,1263.7085499999998,2146.7085500000003,1584.46,1034.73
Duplek,6955,527.9344000000001,2476.9343999999996,1366.57,915.14
Gorenja vas - Poljane,7560,816.9482499999999,2375.94825,1686.42,1100.39
Gorišnica,4097,560.9290000000001,1384.9289999999999,1420.68,938.51
Gorje,2751,235.24676923076927,935.246769230769,1578.75,1038.07
Gornja Radgona,8401,2886.0634999999997,1268.0634999999997,1580.26,1041.16
Gornji Grad,2506,191.08950000000004,721.0894999999999,1404.63,943.04
Gornji Petrovci,1992,205.53240000000002,517.5323999999998,1226.02,833.05
Grad,2063,125.94089999999998,496.9409,1471.87,981.47
Grosuplje,21265,3867.85625,6468.856250000001,1569.86,1029.15
Hajdina,3850,520.4897500000001,1383.48975,1312.83,883.23
Hodoš/Hodos,358,9.13125,63.13499999999999,1236.95,832.76
Horjul,3032,630.0156000000002,843.0155999999998,1755.69,1143.16
Hoče - Slivnica,11848,3281.1592,3939.1592,1664.82,1081.57
Hrastnik,9140,520.7956000000004,1898.7956000000004,1606.56,1061.93
