id,ime,maticna_stevilka,obcina,st_zaposlenih,dobicek
1519140000,ADECCO H.R. d.o.o.,1519140000,Ljubljana,1000,604403.0
5479541000,"ADRIA MOBIL, d.o.o. Novo mesto",5479541000,Novo mesto,1000,35762836.0
1387570000,Akrapovič d.d.,1387570000,Ivančna Gorica,1000,16674429.0
5518121000,BOXMARK LEATHER d.o.o.,5518121000,Kidričevo,1000,-4750308.0
5684943000,BSH HIŠNI APARATI d.o.o. Nazarje,5684943000,Nazarje,1000,13133119.0
5814251000,DARS d.d.,5814251000,Celje,1000,139611455.0
5045401000,"DOMEL, d.o.o.Oglas",5045401000,Železniki,1000,8157478.0
5494516000,ENGROTUŠ d.o.o.,5494516000,Celje,1000,
2482711000,FURS,2482711000,Ljubljana,1000,
2399199000,GENERALŠTAB SLOVENSKE VOJSKE,2399199000,Ljubljana,1000,
1196367000,GOODYEAR DUNLOP SAVA TIRES d.o.o.,1196367000,Kranj,1000,8024290.0
5163676000,"Gorenje, d.o.o.",5163676000,Velenje,1000,-59519000.0
5035945000,HELLA SATURNUS SLOVENIJA d.o.o.,5035945000,Ljubljana,1000,29428000.0
5045398000,HIDRIA d.o.o.,5045398000,Ljubljana,1000,9344533.0
5232058000,HIT d.d. Nova GoricaOglas,5232058000,Nova Gorica,1000,7137000.0
1992414000,HOFER trgovina d.o.o.,1992414000,Lukovica,1000,6793123.0
2111357000,KARIERA d.o.o.,2111357000,Ljubljana,1000,1217515.0
5043611000,"KRKA, d.d., Novo mesto",5043611000,Novo mesto,1000,249411000.0
1719947000,LIDL Slovenija d.o.o. k.d.,1719947000,Komenda,1000,10668946.0
5287073000,LTH Castings d.o.o.,5287073000,Škofja Loka,1000,34006221.0
5144353000,"LUKA KOPER, d.d.",5144353000,Komen,1000,38818611.0
1732811000,Lek d.d.Oglas,1732811000,Ljubljana,1000,115812000.0
5045410000,MAHLE Electric Drives Slovenija d.o.o.Oglas,5045410000,Šempeter - Vrtojba,1000,-23429900.0
5300231000,"MERCATOR, d.d.Oglas",5300231000,Ljubljana,1000,-13807000.0
6723128000,"MERKUR trgovina, d.o.o.",6723128000,Naklo,1000,4776000.0
5055733000,OI LJUBLJANA,5055733000,Ljubljana,1000,
5141966000,PERUTNINA PTUJ d.o.o.,5141966000,Ptuj,1000,13670000.0
5025796000,"PETROL d.d., LjubljanaOglas",5025796000,Ljubljana,1000,60249229.0
1332813000,POLICIJA,1332813000,Ljubljana,1000,
5881447000,POŠTA SLOVENIJE d.o.o.,5881447000,Maribor,1000,4157023.0
5040361000,"PREMOGOVNIK VELENJE, d.o.o.",5040361000,Velenje,1000,-6584420.0
5405084000,REVOZ d.d.,5405084000,Novo mesto,1000,24169000.0
5056497000,RTV SLOVENIJA,5056497000,Ljubljana,1000,
1122517000,SB M. SOBOTA,1122517000,Murska Sobota,1000,
5054621000,SB Novo mesto,5054621000,Novo mesto,1000,
5688418000,SIJ ACRONI d.o.o.,5688418000,Jesenice,1000,-4364331.0
5686482000,SIJ METAL RAVNE d.o.o.Oglas,5686482000,Ravne na Koroškem,1000,-10695000.0
5571693000,SPAR SLOVENIJA d.o.o.,5571693000,Ljubljana,1000,9600105.0
5064716000,SPLOŠNA BOLNIŠNICA CELJEOglas,5064716000,Celje,1000,
5301971000,Sava Turizem d.d.,5301971000,Ljubljana,1000,12264000.0
6017177000,"SŽ - Infrastruktura, d.o.o.",6017177000,Ljubljana,1000,2685811.0
6017231000,"SŽ - Tovorni promet, d.o.o.",6017231000,Ljubljana,1000,4801645.0
5865824000,"SŽ - VIT, d.o.o.",5865824000,Ljubljana,1000,0.0
5040868000,TALUM d.d. KidričevoOglas,5040868000,Kidričevo,1000,553722.0
5014018000,"TELEKOM SLOVENIJE, d.d.Oglas",5014018000,Ljubljana,1000,585000.0
1622226000,"TRENKWALDER, d.o.o.",1622226000,Ljubljana,1000,299173.0
5057272000,UKC Ljubljana,5057272000,Ljubljana,1000,
5054150000,UKC MARIBOROglas,5054150000,Maribor,1000,
5089638000,UMOglas,5089638000,Maribor,1000,
5042437000,UNIOR d.d.,5042437000,Zreče,1000,6123725.0
5874939000,UPRAVNA ENOTA LJUBLJANA,5874939000,Ljubljana,1000,
5056063000,ZDRAVSTVENI DOM LJUBLJANAOglas,5056063000,Ljubljana,1000,
2010810000,odelo Slovenija d.o.o.,2010810000,Prebold,1000,7796410.0
1196332000,"A1 Slovenija, d. d.Oglas",1196332000,Ljubljana,500,12133413.0
5347254000,ADK d.o.o.Oglas,5347254000,Hoče - Slivnica,500,8617575.0
5263565000,AKTIVA VAROVANJE d.d.,5263565000,Maribor,500,55826.0
5496039000,AKTIVA ČIŠČENJE d.o.o.,5496039000,Trzin,500,72961.0
5775256000,ALPE-PANON d.o.o.,5775256000,Ljubljana,500,3353135.0
5441161000,ARCONT d.d.,5441161000,Gornja Radgona,500,2320722.0
5415918000,Adient Slovenj Gradec d.o.o.,5415918000,Slovenj Gradec,500,3430104.0
5005485000,AquafilSLO d.o.o.,5005485000,Ljubljana,500,2907000.0
5054796000,BOLNIŠNICA PTUJ,5054796000,Ptuj,500,
2211238000,CARTHAGO d.o.o.,2211238000,Odranci,500,5199959.0
5069149000,"CGP, d.d.",5069149000,Novo mesto,500,9851988.0
5040302000,CIMOS d.d.,5040302000,Komen,500,-1020975.0
5042801000,"CINKARNA Celje, d.d.",5042801000,Celje,500,21436385.0
5895448000,"DEOS, d.o.o.",5895448000,Brezovica,500,1483941.0
1304836000,"ELAN, d.o.o.Oglas",1304836000,Radovljica,500,1002000.0
5223067000,"ELEKTRO CELJE, d.d.Oglas",5223067000,Celje,500,9252820.0
5227992000,ELEKTRO LJUBLJANA d.d.Oglas,5227992000,Ljubljana,500,13912351.0
5231698000,ELEKTRO MARIBOR d.d.,5231698000,Maribor,500,14274681.0
5427223000,"ELES, d.o.o.Oglas",5427223000,Ljubljana,500,17335995.0
5926475000,ELRAD INTERNATIONAL d.o.o.,5926475000,Gornja Radgona,500,8572857.0
5226406000,"ENERGETIKA LJUBLJANA, d.o.o.",5226406000,Ljubljana,500,216585.0
5677475000,ETA d.o.o. Cerkno,5677475000,Cerkno,500,2130360.0
5042178000,"ETI, d.o.o.",5042178000,Zagorje ob Savi,500,6127768.0
1983725000,"EUROSPIN EKO, d.o.o.",1983725000,Renče - Vogrsko,500,4228688.0
5498449000,"GORENJE I.P.C., d.o.o.",5498449000,Velenje,500,2000.0
6261752000,HENKEL MARIBOR d.o.o.,6261752000,Maribor,500,2099939.0
1470647000,"HTZ Velenje, I.P., d.o.o.",1470647000,Velenje,500,-1542243.0
5043212000,Helios TBLUS d.o.o.,5043212000,Domžale,500,14490000.0
5051606000,IJS V angl.jeziku: JSI,5051606000,Ljubljana,500,
5001684000,INTEREUROPA d.d.,5001684000,Komen,500,3388000.0
6025498000,"ISKRA MEHANIZMI, d.o.o.",6025498000,Radovljica,500,2666514.0
5185726000,"ISKRA, d.o.o.",5185726000,Ljubljana,500,8812986.0
5045193000,"ISKRAEMECO, d.d.",5045193000,Kranj,500,6070586.0
5293162000,"ISKRATEL, d.o.o., Kranj",5293162000,Kranj,500,822000.0
5472784000,ISS FACILITY SERVICES d.o.o.,5472784000,Maribor,500,548842.0
5701414000,"JAGROS, d.o.o.",5701414000,Rogaška Slatina,500,8280653.0
5046688000,JP VOKA SNAGA d.o.o.Oglas,5046688000,Ljubljana,500,1062049.0
1872303000,KOLEKTOR SIKOM d.o.o.,1872303000,Idrija,500,1059825.0
7124953000,KOVINOPLASTIKA LOŽ d.o.o.,7124953000,Loška dolina,500,2026242.0
5025648000,LES-MMS d.o.o.,5025648000,Ljubljana,500,7398960.0
5504813000,"LIVAR, d.d.",5504813000,Ivančna Gorica,500,-2795013.0
5048257000,LJUBLJANSKE MLEKARNE d.o.o.,5048257000,Ljubljana,500,8132647.0
5222966000,LPP d.o.o.Oglas,5222966000,Ljubljana,500,265787.0
5874025000,MESTNA OBČINA LJUBLJANA,5874025000,Ljubljana,500,
