zacetek,konec,razdalja,cas
Ajdovščina,Ankaran/Ancarano,63513,2532
Ajdovščina,Apače,243152,9149
Ajdovščina,Beltinci,264209,9423
Ajdovščina,Benedikt,232239,8389
Ajdovščina,Bistrica ob Sotli,204522,7632
Ajdovščina,Bled,131427,4869
Ajdovščina,Bloke,65479,3255
Ajdovščina,Bohinj,153839,6302
Ajdovščina,Borovnica,71408,3113
Ajdovščina,Bovec,97469,5622
Ajdovščina,Braslovče,145280,5336
Ajdovščina,Brda,39812,2284
Ajdovščina,Brezovica,79666,3883
Ajdovščina,Brežice,182714,6396
Ajdovščina,Cankova,261616,9823
Ajdovščina,Celje,160185,5891
Ajdovščina,Cerklje na Gorenjskem,102235,4042
Ajdovščina,Cerknica,55707,3192
Ajdovščina,Cerkno,55424,3875
Ajdovščina,Cerkvenjak,235349,8264
Ajdovščina,Cirkulane,236504,8755
Ajdovščina,Destrnik,221392,8568
Ajdovščina,Divača,32800,1479
Ajdovščina,Dobje,185146,7211
Ajdovščina,Dobrepolje,111062,4666
Ajdovščina,Dobrna,162022,6075
Ajdovščina,Dobrova - Polhov Gradec,78666,3663
Ajdovščina,Dobrovnik/Dobronak,272059,9770
Ajdovščina,Dol pri Ljubljani,97346,3680
Ajdovščina,Dolenjske Toplice,144614,6099
Ajdovščina,Domžale,96071,3841
Ajdovščina,Dornava,228735,8220
Ajdovščina,Dravograd,192719,8570
Ajdovščina,Duplek,212343,7746
Ajdovščina,Gorenja vas - Poljane,52074,4175
Ajdovščina,Gorišnica,232701,8478
Ajdovščina,Gorje,136168,5255
Ajdovščina,Gornja Radgona,244968,9116
Ajdovščina,Gornji Grad,131881,6405
Ajdovščina,Gornji Petrovci,281842,10512
Ajdovščina,Grad,139541,5656
Ajdovščina,Grosuplje,96678,3630
Ajdovščina,Hajdina,207728,7567
Ajdovščina,Hodoš/Hodos,292027,11096
Ajdovščina,Horjul,71088,3016
Ajdovščina,Hoče - Slivnica,202831,7198
Ajdovščina,Hrastnik,149260,6174
Ajdovščina,Hrpelje - Kozina,41386,1684
Ajdovščina,Idrija,35551,2557
Ajdovščina,Ig,89673,3459
Ajdovščina,Ilirska Bistrica,58429,3122
Ajdovščina,Ivančna Gorica,109970,4102
Ajdovščina,Izola/Isola,69439,2762
Ajdovščina,Jesenice,139610,5186
Ajdovščina,Jezersko,128596,5633
Ajdovščina,Juršinci,224281,8814
Ajdovščina,Kamnik,104479,4278
Ajdovščina,Kanal,46499,2450
Ajdovščina,Kidričevo,205259,7483
Ajdovščina,Kobarid,76860,4250
Ajdovščina,Kobilje,278701,10242
Ajdovščina,Komen,21987,1674
Ajdovščina,Komenda,99686,3907
Ajdovščina,Koper/Capodistria,65298,2653
Ajdovščina,Kostanjevica na Krki,170381,6164
Ajdovščina,Kostel,128398,6969
Ajdovščina,Kozje,201295,8058
Ajdovščina,Kočevje,104635,5662
Ajdovščina,Kranj,107104,4207
Ajdovščina,Kranjska Gora,161938,6271
Ajdovščina,Križevci,253520,9055
Ajdovščina,Krško,174349,6324
Ajdovščina,Kungota,224164,8175
Ajdovščina,Kuzma,279860,11065
Ajdovščina,Laško,171973,6761
Ajdovščina,Lenart,226473,8056
Ajdovščina,Lendava/Lendva,285165,10133
Ajdovščina,Litija,120174,4960
Ajdovščina,Ljubljana,82352,3541
Ajdovščina,Ljubno,168216,6804
Ajdovščina,Ljutomer,261870,9559
Ajdovščina,Log - Dragomer,72315,3191
Ajdovščina,Logatec,56907,2310
Ajdovščina,Lovrenc na Pohorju,230392,9293
Ajdovščina,Loška dolina,79290,4585
Ajdovščina,Loški Potok,78945,4208
Ajdovščina,Lukovica,117610,4427
Ajdovščina,Luče,136437,7044
Ajdovščina,Majšperk,206268,7821
Ajdovščina,Makole,202516,7612
Ajdovščina,Maribor,209322,7733
Ajdovščina,Markovci,227351,8184
Ajdovščina,Medvode,90527,3665
Ajdovščina,Mengeš,96803,3948
Ajdovščina,Metlika,172899,7113
Ajdovščina,Mežica,193914,9090
Ajdovščina,Miklavž na Dravskem polju,206034,7268
Ajdovščina,Miren - Kostanjevica,38424,2032
Ajdovščina,Mirna,133310,4974
Ajdovščina,Mirna Peč,136347,4882
Ajdovščina,Mislinja,170237,7204
Ajdovščina,Mokronog - Trebelno,140610,5527
Ajdovščina,Moravske Toplice,267408,9791
Ajdovščina,Moravče,110419,4201
Ajdovščina,Mozirje,154758,5980
Ajdovščina,Murska Sobota,260446,9290
Ajdovščina,Muta,204152,9251
Ajdovščina,Naklo,111071,4135
Ajdovščina,Nazarje,146897,6339
Ajdovščina,Nova Gorica,27181,1361
Ajdovščina,Novo mesto,145677,5413
Ajdovščina,Odranci,268653,9732
Ajdovščina,Oplotnica,186008,6860
Ajdovščina,Ormož,244078,9212
Ajdovščina,Osilnica,130620,7593
Ajdovščina,Pesnica,216173,7605
Ajdovščina,Piran/Pirano,80147,3587
Ajdovščina,Pivka,41467,1918
Ajdovščina,Podlehnik,225763,7872
Ajdovščina,Podvelka,241385,9604
Ajdovščina,Podčetrtek,198622,8145
Ajdovščina,Poljčane,196164,7247
Ajdovščina,Polzela,145412,5351
Ajdovščina,Postojna,35089,1584
Ajdovščina,Prebold,144932,5365
Ajdovščina,Preddvor,110276,4360
Ajdovščina,Prevalje,198507,9147
Ajdovščina,Ptuj,211825,8043
Ajdovščina,Puconci,266900,9797
Ajdovščina,Radenci,250134,9055
Ajdovščina,Radeče,161370,7023
Ajdovščina,Radlje ob Dravi,210157,9585
Ajdovščina,Radovljica,125805,4615
Ajdovščina,Ravne na Koroškem,194680,8759
Ajdovščina,Razkrižje,268103,9997
Ajdovščina,Rače - Fram,201516,7461
Ajdovščina,Renče - Vogrsko,22421,1259
Ajdovščina,Rečica ob Savinji,160252,6321
Ajdovščina,Ribnica,88036,4684
Ajdovščina,Ribnica na Pohorju,251242,10302
Ajdovščina,Rogatec,201697,8251
Ajdovščina,Rogaška Slatina,194584,7903
Ajdovščina,Rogašovci,272614,10579
Ajdovščina,Ruše,217885,8482
Ajdovščina,Selnica ob Dravi,224851,9192
Ajdovščina,Semič,171201,6960
Ajdovščina,Sevnica,161132,6631
Ajdovščina,Sežana,38842,1596
Ajdovščina,Slovenija,139801,5687
Ajdovščina,Slovenj Gradec,183056,7994
Ajdovščina,Slovenska Bistrica,187697,6686
Ajdovščina,Slovenske Konjice,182466,6764
Ajdovščina,Sodražica,78447,4009
Ajdovščina,Solčava,145512,7616
Ajdovščina,Središče ob Dravi,254110,9736
Ajdovščina,Starše,208843,7539
Ajdovščina,Straža,151632,5751
Ajdovščina,Sveta Ana,234846,8559
