obcina,leto,delez_migrantov,delez_migrantov_moski,delez_migrantov_zenske,delez_lokalnih_delavcev,delez_lokalnih_delavcev_moski,delez_lokalnih_delavcev_zenske
Ajdovščina,2000,33.8,35.6,31.3,66.2,64.4,68.7
Ajdovščina,2001,35.1,37.2,32.2,64.9,62.8,67.8
Ajdovščina,2002,35.4,37.4,32.7,64.6,62.6,67.3
Ajdovščina,2003,36.4,38.2,34.0,63.6,61.8,66.0
Ajdovščina,2004,38.5,39.3,37.3,61.5,60.7,62.7
Ajdovščina,2005,40.6,40.7,40.4,59.4,59.3,59.6
Ajdovščina,2006,41.4,40.5,42.6,58.6,59.5,57.4
Ajdovščina,2007,42.8,41.6,44.4,57.2,58.4,55.6
Ajdovščina,2008,43.8,42.4,46.0,56.2,57.6,54.0
Ajdovščina,2009,44.3,43.0,46.2,55.7,57.0,53.8
Ajdovščina,2010,45.5,43.7,47.8,54.5,56.3,52.2
Ajdovščina,2011,47.4,45.8,49.5,52.6,54.2,50.5
Ajdovščina,2012,50.2,49.7,50.8,49.8,50.3,49.2
Ajdovščina,2013,50.4,50.4,50.3,49.6,49.6,49.7
Ajdovščina,2014,51.4,51.2,51.6,48.6,48.8,48.4
Ajdovščina,2015,51.4,50.8,52.1,48.6,49.2,47.9
Ajdovščina,2016,50.6,50.2,51.2,49.4,49.8,48.8
Ajdovščina,2017,51.4,50.1,53.1,48.6,49.9,46.9
Ajdovščina,2018,50.8,49.0,53.2,49.2,51.0,46.8
Ajdovščina,2019,50.2,47.3,53.9,49.8,52.7,46.1
Ankaran/Ancarano,2015,63.1,81.2,80.2,19.3,18.8,19.8
Ankaran/Ancarano,2016,80.0,80.2,79.8,20.0,19.8,20.2
Ankaran/Ancarano,2017,82.3,84.0,80.4,17.7,16.0,19.6
Ankaran/Ancarano,2018,82.4,83.4,81.5,17.6,16.6,18.5
Ankaran/Ancarano,2019,82.5,84.9,80.1,17.5,15.1,19.9
Apače,2007,78.9,76.2,82.4,21.1,23.8,17.6
Apače,2008,77.7,74.7,81.6,22.3,25.3,18.4
Apače,2009,75.7,73.0,79.1,24.3,27.0,20.9
Apače,2010,74.4,71.4,78.2,25.6,28.6,21.8
Apače,2011,75.6,72.0,80.1,24.4,28.0,19.9
Apače,2012,73.6,71.0,76.7,26.4,29.0,23.3
Apače,2013,73.5,70.9,76.7,26.5,29.1,23.3
Apače,2014,72.2,69.8,75.2,27.8,30.2,24.8
Apače,2015,72.6,70.0,75.7,27.4,30.0,24.3
Apače,2016,72.9,70.5,75.8,27.1,29.5,24.2
Apače,2017,73.0,69.8,76.7,27.0,30.2,23.3
Apače,2018,73.5,71.2,76.0,26.5,28.8,24.0
Apače,2019,75.1,72.7,77.7,24.9,27.3,22.3
Beltinci,2000,74.0,72.6,75.6,26.0,27.4,24.4
Beltinci,2001,74.3,72.9,75.8,25.7,27.1,24.2
Beltinci,2002,74.2,73.0,75.6,25.8,27.0,24.4
Beltinci,2003,74.1,72.2,76.3,25.9,27.8,23.7
Beltinci,2004,75.0,71.5,79.0,25.0,28.5,21.0
Beltinci,2005,76.6,72.9,80.8,23.4,27.1,19.2
Beltinci,2006,76.4,72.3,81.4,23.6,27.7,18.6
Beltinci,2007,76.3,72.5,80.8,23.7,27.5,19.2
Beltinci,2008,76.0,73.3,79.3,24.0,26.7,20.7
Beltinci,2009,73.6,70.9,77.1,26.4,29.1,22.9
Beltinci,2010,76.3,73.8,79.3,23.7,26.2,20.7
Beltinci,2011,77.3,74.8,80.3,22.7,25.2,19.7
Beltinci,2012,77.1,74.8,79.8,22.9,25.2,20.2
Beltinci,2013,76.5,74.3,79.1,23.5,25.7,20.9
Beltinci,2014,76.0,74.9,77.4,24.0,25.1,22.6
Beltinci,2015,76.9,76.2,77.6,23.1,23.8,22.4
Beltinci,2016,77.7,77.1,78.3,22.3,22.9,21.7
Beltinci,2017,79.5,78.6,80.4,20.5,21.4,19.6
Beltinci,2018,79.2,77.9,80.6,20.8,22.1,19.4
Beltinci,2019,79.4,78.3,80.6,20.6,21.7,19.4
Benedikt,2000,84.1,80.2,88.8,15.9,19.8,11.2
Benedikt,2001,84.2,80.1,89.2,15.8,19.9,10.8
Benedikt,2002,84.4,81.6,88.0,15.6,18.4,12.0
Benedikt,2003,86.9,85.8,88.2,13.1,14.2,11.8
Benedikt,2004,85.6,84.0,87.6,14.4,16.0,12.4
Benedikt,2005,85.5,85.6,85.3,14.5,14.4,14.7
Benedikt,2006,85.3,84.5,86.4,14.7,15.5,13.6
Benedikt,2007,85.7,85.1,86.5,14.3,14.9,13.5
Benedikt,2008,85.0,84.9,85.1,15.0,15.1,14.9
Benedikt,2009,84.2,85.0,83.1,15.8,15.0,16.9
Benedikt,2010,83.4,82.9,84.0,16.6,17.1,16.0
Benedikt,2011,84.2,83.2,85.5,15.8,16.8,14.5
Benedikt,2012,83.2,82.7,83.8,16.8,17.3,16.2
Benedikt,2013,82.6,81.4,83.9,17.4,18.6,16.1
Benedikt,2014,81.0,79.5,82.9,19.0,20.5,17.1
Benedikt,2015,80.9,78.9,83.3,19.1,21.1,16.7
Benedikt,2016,81.1,80.2,82.1,18.9,19.8,17.9
Benedikt,2017,81.9,80.3,83.7,18.1,19.7,16.3
Benedikt,2018,82.2,80.7,83.9,17.8,19.3,16.1
Benedikt,2019,81.3,80.3,82.4,18.7,19.7,17.6
Bistrica ob Sotli,2000,60.6,66.4,54.0,39.4,33.6,46.0
Bistrica ob Sotli,2001,62.4,68.3,55.5,37.6,31.7,44.5
Bistrica ob Sotli,2002,59.7,67.2,52.1,40.3,32.8,47.9
Bistrica ob Sotli,2003,59.3,66.8,50.8,40.7,33.2,49.2
Bistrica ob Sotli,2004,61.6,69.8,51.7,38.4,30.2,48.3
Bistrica ob Sotli,2005,60.6,70.0,49.1,39.4,30.0,50.9
Bistrica ob Sotli,2006,77.4,78.0,76.7,22.6,22.0,23.3
Bistrica ob Sotli,2007,78.9,78.9,78.9,21.1,21.1,21.1
Bistrica ob Sotli,2008,78.2,77.3,79.3,21.8,22.7,20.7
Bistrica ob Sotli,2009,69.5,67.7,71.7,30.5,32.3,28.3
Bistrica ob Sotli,2010,68.1,66.1,70.5,31.9,33.9,29.5
Bistrica ob Sotli,2011,70.2,70.2,70.1,29.8,29.8,29.9
Bistrica ob Sotli,2012,71.0,69.1,73.3,29.0,30.9,26.7
Bistrica ob Sotli,2013,68.1,66.8,69.7,31.9,33.2,30.3
Bistrica ob Sotli,2014,70.1,70.4,69.7,29.9,29.6,30.3
Bistrica ob Sotli,2015,70.1,71.1,69.0,29.9,28.9,31.0
Bistrica ob Sotli,2016,70.0,70.8,69.2,30.0,29.2,30.8
Bistrica ob Sotli,2017,73.3,74.9,71.5,26.7,25.1,28.5
Bistrica ob Sotli,2018,73.0,72.4,73.7,27.0,27.6,26.3
Bistrica ob Sotli,2019,74.0,72.2,76.0,26.0,27.8,24.0
Bled,2000,56.0,54.5,57.7,44.0,45.5,42.3
Bled,2001,55.2,53.6,57.1,44.8,46.4,42.9
Bled,2002,55.3,54.2,56.7,44.7,45.8,43.3
Bled,2003,56.2,54.9,57.6,43.8,45.1,42.4
Bled,2004,56.3,54.3,58.6,43.7,45.7,41.4
Bled,2005,58.2,56.8,59.9,41.8,43.2,40.1
Bled,2006,58.8,57.4,60.5,41.2,42.6,39.5
Bled,2007,61.0,59.5,62.9,39.0,40.5,37.1
Bled,2008,61.0,58.6,63.9,39.0,41.4,36.1
Bled,2009,61.2,58.6,64.1,38.8,41.4,35.9
Bled,2010,61.5,58.2,65.4,38.5,41.8,34.6
Bled,2011,62.8,59.8,66.2,37.2,40.2,33.8
Bled,2012,62.6,59.1,66.5,37.4,40.9,33.5
Bled,2013,63.0,60.0,66.3,37.0,40.0,33.7
Bled,2014,63.2,59.9,66.7,36.8,40.1,33.3
Bled,2015,62.4,59.4,65.7,37.6,40.6,34.3
Bled,2016,62.8,61.0,64.8,37.2,39.0,35.2
Bled,2017,62.7,61.2,64.5,37.3,38.8,35.5
Bled,2018,63.0,61.4,64.8,37.0,38.6,35.2
Bled,2019,63.2,62.3,64.2,36.8,37.7,35.8
Bloke,2000,65.7,57.5,76.7,34.3,42.5,23.3
Bloke,2001,65.0,56.3,77.2,35.0,43.7,22.8
